[18:07:18] CPU: 2.52% | RAM: 35.31% | TEMP: 41.0°C
[18:08:18] CPU: 5.36% | RAM: 35.19% | TEMP: 41.0°C
[18:09:18] CPU: 4.79% | RAM: 35.35% | TEMP: 44.0°C
[18:10:18] CPU: 1.78% | RAM: 35.42% | TEMP: 42.0°C
[18:11:18] CPU: 2.78% | RAM: 35.16% | TEMP: 42.0°C
[18:12:18] CPU: 2.52% | RAM: 35.04% | TEMP: 42.0°C
[18:13:18] CPU: 2.78% | RAM: 35.21% | TEMP: 41.0°C
[18:14:18] CPU: 2.04% | RAM: 35.20% | TEMP: 41.0°C
[18:15:18] CPU: 2.53% | RAM: 35.15% | TEMP: 41.0°C
[18:16:18] CPU: 2.77% | RAM: 35.38% | TEMP: 41.0°C
[18:17:18] CPU: 2.78% | RAM: 35.46% | TEMP: 41.0°C
[18:18:18] CPU: 2.54% | RAM: 35.63% | TEMP: 41.0°C
[18:19:18] CPU: 2.28% | RAM: 35.40% | TEMP: 41.0°C
[18:20:18] CPU: 2.02% | RAM: 35.77% | TEMP: 42.0°C
[18:21:18] CPU: 3.02% | RAM: 35.52% | TEMP: 41.0°C
[18:22:18] CPU: 2.53% | RAM: 35.35% | TEMP: 41.0°C
[18:23:18] CPU: 3.75% | RAM: 35.59% | TEMP: 41.0°C
[18:24:18] CPU: 1.77% | RAM: 35.53% | TEMP: 42.0°C
[18:25:18] CPU: 2.27% | RAM: 35.47% | TEMP: 41.0°C
[18:26:18] CPU: 2.02% | RAM: 35.39% | TEMP: 42.0°C
[18:27:18] CPU: 3.04% | RAM: 35.56% | TEMP: 42.0°C
[18:28:18] CPU: 4.65% | RAM: 35.50% | TEMP: 42.0°C
[18:29:18] CPU: 4.06% | RAM: 35.54% | TEMP: 44.0°C
[18:30:18] CPU: 2.53% | RAM: 35.45% | TEMP: 42.0°C
[18:31:18] CPU: 2.78% | RAM: 35.50% | TEMP: 41.0°C
[18:32:18] CPU: 3.26% | RAM: 35.43% | TEMP: 41.0°C
[18:33:18] CPU: 2.27% | RAM: 35.50% | TEMP: 41.0°C
[18:34:18] CPU: 2.52% | RAM: 35.66% | TEMP: 41.0°C
[18:35:18] CPU: 2.53% | RAM: 35.59% | TEMP: 41.0°C
[18:36:18] CPU: 2.76% | RAM: 35.59% | TEMP: 41.0°C
[18:37:18] CPU: 2.78% | RAM: 35.47% | TEMP: 42.0°C
[18:38:18] CPU: 2.29% | RAM: 35.34% | TEMP: 42.0°C
[18:39:18] CPU: 1.79% | RAM: 35.50% | TEMP: 41.0°C
[18:40:18] CPU: 2.52% | RAM: 35.55% | TEMP: 41.0°C
[18:41:18] CPU: 2.52% | RAM: 35.51% | TEMP: 40.0°C
[18:42:18] CPU: 2.78% | RAM: 35.42% | TEMP: 41.0°C
[18:43:18] CPU: 3.80% | RAM: 35.78% | TEMP: 41.0°C
[18:44:18] CPU: 4.51% | RAM: 35.65% | TEMP: 41.0°C
[18:45:18] CPU: 3.32% | RAM: 35.70% | TEMP: 42.0°C
[18:46:18] CPU: 3.57% | RAM: 35.73% | TEMP: 42.0°C
[18:47:18] CPU: 3.57% | RAM: 35.75% | TEMP: 41.0°C
[18:48:18] CPU: 6.17% | RAM: 35.90% | TEMP: 42.0°C
[18:49:18] CPU: 6.80% | RAM: 35.84% | TEMP: 43.0°C
[18:50:18] CPU: 3.80% | RAM: 35.92% | TEMP: 42.0°C
[18:51:18] CPU: 4.09% | RAM: 35.73% | TEMP: 42.0°C
[18:52:18] CPU: 3.07% | RAM: 35.74% | TEMP: 42.0°C
[18:53:18] CPU: 4.03% | RAM: 35.71% | TEMP: 42.0°C
[18:54:18] CPU: 3.80% | RAM: 35.64% | TEMP: 41.0°C
[18:55:18] CPU: 3.54% | RAM: 35.74% | TEMP: 42.0°C
[18:56:18] CPU: 3.56% | RAM: 35.69% | TEMP: 41.0°C
[18:57:18] CPU: 3.55% | RAM: 35.62% | TEMP: 41.0°C
[18:58:18] CPU: 3.03% | RAM: 35.78% | TEMP: 41.0°C
[18:59:18] CPU: 4.01% | RAM: 35.71% | TEMP: 41.0°C
[19:00:18] CPU: 3.80% | RAM: 36.05% | TEMP: 42.0°C
[19:01:18] CPU: 4.33% | RAM: 35.79% | TEMP: 43.0°C
[19:02:18] CPU: 4.29% | RAM: 35.67% | TEMP: 41.0°C
[19:03:18] CPU: 3.80% | RAM: 36.26% | TEMP: 41.0°C
[19:04:18] CPU: 3.81% | RAM: 36.18% | TEMP: 41.0°C
[19:05:18] CPU: 4.06% | RAM: 36.37% | TEMP: 41.0°C
[19:06:18] CPU: 3.81% | RAM: 36.25% | TEMP: 41.0°C
[19:07:18] CPU: 7.46% | RAM: 36.26% | TEMP: 42.0°C
[19:08:18] CPU: 6.41% | RAM: 35.96% | TEMP: 41.0°C
[19:09:18] CPU: 4.57% | RAM: 36.09% | TEMP: 41.0°C
[19:10:18] CPU: 3.77% | RAM: 36.02% | TEMP: 42.0°C
[19:11:18] CPU: 3.54% | RAM: 36.13% | TEMP: 42.0°C
[19:12:18] CPU: 4.86% | RAM: 35.99% | TEMP: 42.0°C
[19:13:18] CPU: 4.28% | RAM: 36.13% | TEMP: 42.0°C
[19:14:18] CPU: 4.77% | RAM: 35.94% | TEMP: 41.0°C
[19:15:18] CPU: 4.30% | RAM: 36.12% | TEMP: 42.0°C
[19:16:18] CPU: 5.08% | RAM: 36.10% | TEMP: 42.0°C
[19:17:18] CPU: 4.81% | RAM: 36.15% | TEMP: 41.0°C
[19:18:18] CPU: 3.84% | RAM: 36.16% | TEMP: 42.0°C
[19:19:18] CPU: 4.64% | RAM: 36.37% | TEMP: 42.0°C
[19:20:18] CPU: 3.80% | RAM: 36.09% | TEMP: 42.0°C
